ReactionG_PD_Edges,ReactionG_PD_Vertices,ReactionG_PD_OutDegreeMIN,ReactionG_PD_OutDegreeMAX,ReactionG_PD_OutDegreeMEAN,ReactionG_PD_InDegreeMIN,ReactionG_PD_InDegreeMAX,ReactionG_PD_InDegreeMEAN,ReactionG_PD_TotalDegreeMIN,ReactionG_PD_TotalDegreeMAX,ReactionG_PD_TotalDegreeMEAN,ReactionG_PD_WeakComponents,ReactionG_PUD_UNDIRECTEDArticulationPoints,ReactionG_PUD_UNDIRECTEDBiconnectedComponents,ReactionG_PD_Density,ReactionG_PD_Reciprocity,SpeciesG_PD_Edges,SpeciesG_PD_Vertices,SpeciesG_PD_OutDegreeMIN,SpeciesG_PD_OutDegreeMAX,SpeciesG_PD_OutDegreeMEAN,SpeciesG_PD_InDegreeMIN,SpeciesG_PD_InDegreeMAX,SpeciesG_PD_InDegreeMEAN,SpeciesG_PD_TotalDegreeMIN,SpeciesG_PD_TotalDegreeMAX,SpeciesG_PD_TotalDegreeMEAN,SpeciesG_PD_WeakComponents,SpeciesG_PUD_UNDIRECTEDArticulationPoints,SpeciesG_PUD_UNDIRECTEDBiconnectedComponents,SpeciesG_PD_Density,SpeciesG_PD_Reciprocity,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM,NG_StoichiometricUpdatesMIN,NG_StoichiometricUpdatesMEAN,NG_StoichiometricUpdatesMAX,NG_StoichiometricUpdatesSUM,ModelChecker
229,39,1,12,5.871794872,1,21,5.871794872,1,31,10.64102564,5,0,0,0.150558843,0.668122271,47,29,0,5,1.620689655,0,9,1.620689655,1,14,3.24137931,5,0,0,0.05588585,0.553191489,1131,2,2.205128205,3,86,2,2.205128205,3,86,PLASMA
131,30,2,9,4.366666667,1,9,4.366666667,2,14,7.233333333,2,3,0,0.145555556,0.709923664,52,38,0,4,1.368421053,0,4,1.368421053,1,7,2.736842105,2,10,0,0.03601108,0.230769231,1140,2,2.733333333,4,82,2,2.733333333,4,82,PLASMA
88,36,1,5,2.444444444,1,5,2.444444444,1,8,3.888888889,8,0,0,0.067901235,0.636363636,36,34,0,3,1.058823529,0,4,1.058823529,1,5,2.117647059,8,0,0,0.031141869,0.111111111,1224,2,2,2,72,2,2,2,72,PLASMA
155,30,2,9,5.166666667,1,9,5.166666667,3,15,8.9,1,1,0,0.172222222,0.703225806,62,32,0,7,1.9375,0,9,1.9375,1,10,3.875,1,5,0,0.060546875,0.129032258,960,2,2.833333333,5,85,2,2.833333333,5,85,PLASMA
130,42,2,5,3.095238095,2,6,3.095238095,3,10,5.19047619,9,0,0,0.073696145,0.769230769,42,32,1,3,1.3125,1,3,1.3125,2,6,2.625,9,0,0,0.041015625,0.571428571,1344,2,2,2,84,2,2,2,84,PLASMA
1849,43,43,43,43,43,43,43,85,85,85,1,0,0,1,1,43,44,0,43,0.977272727,0,1,0.977272727,1,43,1.954545455,1,1,0,0.022210744,0,1892,2,2,2,86,2,2,2,86,MC2
64,38,1,5,1.684210526,1,6,1.684210526,2,9,2.342105263,17,0,0,0.04432133,0.671875,39,56,0,2,0.696428571,0,2,0.696428571,1,3,1.392857143,17,1,0,0.012436224,0,2128,2,2.026315789,3,77,2,2.026315789,3,77,PLASMA
124,41,1,9,3.024390244,1,8,3.024390244,1,15,5,7,0,0,0.073765616,0.717741935,43,47,0,3,0.914893617,0,4,0.914893617,1,6,1.829787234,7,1,0,0.019465822,0.046511628,1927,2,2.048780488,3,84,2,2.048780488,3,84,PLASMA
286,36,1,21,7.944444444,1,22,7.944444444,1,36,14.11111111,2,5,0,0.220679012,0.734265734,156,47,0,16,3.319148936,0,22,3.319148936,1,29,6.638297872,1,10,0,0.07062019,0.192307692,1692,2,3.75,9,135,2,3.75,9,135,PLASMA
194,38,1,12,5.105263158,1,12,5.105263158,1,21,8.789473684,2,4,0,0.13434903,0.711340206,96,45,0,12,2.133333333,0,7,2.133333333,1,16,4.266666667,1,5,0,0.047407407,0.145833333,1710,2,3.105263158,5,118,2,3.105263158,5,118,PLASMA
