FileOrder,ModelName,ModelPath,ModelChecker,PatternType,1_NoError,1_ExtTT,1_VerifT,1_TotalT,2_NoError,2_ExtTT,2_VerifT,2_TotalT,3_NoError,3_ExtTT,3_VerifT,3_TotalT,Avg_ExtTT,Avg_VerifT,Avg_TotalT,PropOfNoError
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,PLASMA,WithProbSTEADY_STATE,true,null,4651330414,4651330414,true,null,4587341176,4587341176,true,null,4686382225,4686382225,0.0,4.641684605E9,4.641684605E9,1.0
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,MC2,WithProbSTEADY_STATE,true,31189074396,1889953642,33079028038,true,30667741473,1802849711,32470591184,true,30495862924,1899155020,32395017944,3.0784226264333332E10,1.8639861243333333E9,3.2648212388666668E10,1.0
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,PLASMA,WithProbSTEADY_STATE,true,null,4491284561,4491284561,true,null,4352666543,4352666543,true,null,4363756891,4363756891,0.0,4.402569331666667E9,4.402569331666667E9,1.0
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,MC2,WithProbSTEADY_STATE,true,30677888267,1768311630,32446199897,true,30688532917,1771067905,32459600822,true,30741154996,1790418020,32531573016,3.0702525393333332E10,1.776599185E9,3.2479124578333332E10,1.0
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,PLASMA,WithProbSTEADY_STATE,true,null,1818408845,1818408845,true,null,1833439648,1833439648,true,null,1912140160,1912140160,0.0,1.8546628843333333E9,1.8546628843333333E9,1.0
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,MC2,WithProbSTEADY_STATE,true,31103702055,1738560995,32842263050,true,31214531339,1790255480,33004786819,true,31448502612,1815202273,33263704885,3.1255578668666668E10,1.7813395826666667E9,3.3036918251333332E10,1.0
4,004_BIOMD0000000567.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/004_BIOMD0000000567.xml.mcp.sbml,PLASMA,WithProbSTEADY_STATE,true,null,1859883021,1859883021,true,null,1814589067,1814589067,true,null,1894744696,1894744696,0.0,1.8564055946666667E9,1.8564055946666667E9,1.0
4,004_BIOMD0000000567.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/004_BIOMD0000000567.xml.mcp.sbml,MC2,WithProbSTEADY_STATE,true,31045445529,1761016429,32806461958,true,31472217012,1764303766,33236520778,true,31087364114,1875324286,32962688400,3.1201675551666668E10,1.800214827E9,3.3001890378666668E10,1.0
5,005_BIOMD0000000418.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/005_BIOMD0000000418.xml.mcp.sbml,PLASMA,WithProbSTEADY_STATE,true,null,4122485249,4122485249,true,null,4079023356,4079023356,true,null,3945665838,3945665838,0.0,4.0490581476666665E9,4.0490581476666665E9,1.0
5,005_BIOMD0000000418.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/005_BIOMD0000000418.xml.mcp.sbml,MC2,WithProbSTEADY_STATE,true,29463281884,1085204491,30548486375,true,29483863214,1107769175,30591632389,true,29306492484,1264805261,30571297745,2.9417879194E10,1.1525929756666667E9,3.0570472169666668E10,1.0
6,006_BIOMD0000000417.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/006_BIOMD0000000417.xml.mcp.sbml,PLASMA,WithProbSTEADY_STATE,true,null,3996861652,3996861652,true,null,3908672739,3908672739,true,null,4151336282,4151336282,0.0,4.018956891E9,4.018956891E9,1.0
6,006_BIOMD0000000417.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/006_BIOMD0000000417.xml.mcp.sbml,MC2,WithProbSTEADY_STATE,true,29447395684,1093905013,30541300697,true,29394584276,1148237311,30542821587,true,29295485420,1110573438,30406058858,2.9379155126666668E10,1.1175719206666667E9,3.0496727047333332E10,1.0
7,007_BIOMD0000000414.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/007_BIOMD0000000414.xml.mcp.sbml,PLASMA,WithProbSTEADY_STATE,true,null,4128768774,4128768774,true,null,3903885924,3903885924,true,null,4150990350,4150990350,0.0,4.061215016E9,4.061215016E9,1.0
7,007_BIOMD0000000414.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/007_BIOMD0000000414.xml.mcp.sbml,MC2,WithProbSTEADY_STATE,true,29796286916,1118599748,30914886664,true,29515632610,1135498628,30651131238,true,29611250497,1085142018,30696392515,2.9641056674333332E10,1.1130801313333333E9,3.0754136805666668E10,1.0
8,010_BIOMD0000000459.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/010_BIOMD0000000459.xml.mcp.sbml,PLASMA,WithProbSTEADY_STATE,true,null,4507219581,4507219581,true,null,4546583119,4546583119,true,null,4721652209,4721652209,0.0,4.591818303E9,4.591818303E9,1.0
8,010_BIOMD0000000459.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/010_BIOMD0000000459.xml.mcp.sbml,MC2,WithProbSTEADY_STATE,true,29102509338,800473456,29902982794,true,29168499557,793207224,29961706781,true,29067418087,799860965,29867279052,2.9112808994E10,7.97847215E8,2.9910656209E10,1.0
9,009_BIOMD0000000460.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/009_BIOMD0000000460.xml.mcp.sbml,PLASMA,WithProbSTEADY_STATE,true,null,4593609653,4593609653,true,null,4620359586,4620359586,true,null,4619439049,4619439049,0.0,4.611136096E9,4.611136096E9,1.0
9,009_BIOMD0000000460.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/009_BIOMD0000000460.xml.mcp.sbml,MC2,WithProbSTEADY_STATE,true,29232921570,778972907,30011894477,true,28986500360,784998483,29771498843,true,29280114900,784174634,30064289534,2.9166512276666668E10,7.827153413333334E8,2.9949227618E10,1.0
10,008_BIOMD0000000461.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/008_BIOMD0000000461.xml.mcp.sbml,PLASMA,WithProbSTEADY_STATE,true,null,4416800281,4416800281,true,null,4524123059,4524123059,true,null,4672775463,4672775463,0.0,4.537899601E9,4.537899601E9,1.0
10,008_BIOMD0000000461.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/008_BIOMD0000000461.xml.mcp.sbml,MC2,WithProbSTEADY_STATE,true,29161495966,825345873,29986841839,true,29278190210,811239108,30089429318,true,29403892054,786823136,30190715190,2.9281192743333332E10,8.078027056666666E8,3.0088995449E10,1.0
11,011_BIOMD0000000485.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/011_BIOMD0000000485.xml.mcp.sbml,PLASMA,WithProbSTEADY_STATE,true,null,4557758690,4557758690,true,null,4612081800,4612081800,true,null,4489555536,4489555536,0.0,4.553132008666667E9,4.553132008666667E9,1.0
