FileOrder,ModelName,ModelPath,ModelChecker,PatternType,1_NoError,1_ExtTT,1_VerifT,1_TotalT,2_NoError,2_ExtTT,2_VerifT,2_TotalT,3_NoError,3_ExtTT,3_VerifT,3_TotalT,Avg_ExtTT,Avg_VerifT,Avg_TotalT,PropOfNoError
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,PRISM,WithProbNEVER,true,null,1511909706,1511909706,true,null,1487225463,1487225463,true,null,1508936940,1508936940,0.0,1.502690703E9,1.502690703E9,1.0
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,PLASMA,WithProbNEVER,true,null,1953729275,1953729275,true,null,1963316593,1963316593,true,null,1959633309,1959633309,0.0,1.958893059E9,1.958893059E9,1.0
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,YMER,WithProbNEVER,true,null,6878356,6878356,true,null,8349460,8349460,true,null,16566075,16566075,0.0,1.0597963666666666E7,1.0597963666666666E7,1.0
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,MC2,WithProbNEVER,true,30832599136,1801790153,32634389289,true,30571161804,1771334971,32342496775,true,30663258854,1764483360,32427742214,3.0689006598E10,1.779202828E9,3.2468209426E10,1.0
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,PRISM,WithProbNEVER,true,null,1695505645,1695505645,true,null,1454376078,1454376078,true,null,1519504727,1519504727,0.0,1.55646215E9,1.55646215E9,1.0
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,PLASMA,WithProbNEVER,true,null,1825303272,1825303272,true,null,1848566335,1848566335,true,null,1778818061,1778818061,0.0,1.817562556E9,1.817562556E9,1.0
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,YMER,WithProbNEVER,true,null,5666113,5666113,true,null,7167057,7167057,true,null,5808669,5808669,0.0,6213946.333333333,6213946.333333333,1.0
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,MC2,WithProbNEVER,true,30718974411,1813400400,32532374811,true,30503194458,1763098002,32266292460,true,31555250342,1796077585,33351327927,3.0925806403666668E10,1.7908586623333333E9,3.2716665066E10,1.0
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,PRISM,WithProbNEVER,false,null,null,0,false,null,null,0,false,null,null,0,null,null,null,0.0
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,PLASMA,WithProbNEVER,true,null,1782558022,1782558022,true,null,1781996976,1781996976,true,null,1914960162,1914960162,0.0,1.8265050533333333E9,1.8265050533333333E9,1.0
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,YMER,WithProbNEVER,true,null,2951083,2951083,true,null,3319872,3319872,true,null,3583800,3583800,0.0,3284918.3333333335,3284918.3333333335,1.0
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,MC2,WithProbNEVER,true,31102819838,1774961215,32877781053,true,30983145298,1773256999,32756402297,true,31300543178,1858411465,33158954643,3.1128836104666668E10,1.802209893E9,3.2931045997666668E10,1.0
