SpeciesG_PD_Vertices,SpeciesG_PD_Edges,SpeciesG_PD_InDegreeMIN,SpeciesG_PD_InDegreeMEAN,SpeciesG_PD_InDegreeMAX,SpeciesG_PD_InDegreeSUM,SpeciesG_PD_OutDegreeMIN,SpeciesG_PD_OutDegreeMEAN,SpeciesG_PD_OutDegreeMAX,SpeciesG_PD_OutDegreeSUM,SpeciesG_PD_TotalDegreeMIN,SpeciesG_PD_TotalDegreeMEAN,SpeciesG_PD_TotalDegreeMAX,SpeciesG_PD_TotalDegreeSUM,SpeciesG_PD_Density,SpeciesG_PD_Reciprocity,SpeciesG_PD_WeakComponents,SpeciesG_PUD_UNDIRECTEDBiconnectedComponents,SpeciesG_PUD_UNDIRECTEDArticulationPoints,ReactionG_PD_Vertices,ReactionG_PD_Edges,ReactionG_PD_InDegreeMIN,ReactionG_PD_InDegreeMEAN,ReactionG_PD_InDegreeMAX,ReactionG_PD_InDegreeSUM,ReactionG_PD_OutDegreeMIN,ReactionG_PD_OutDegreeMEAN,ReactionG_PD_OutDegreeMAX,ReactionG_PD_OutDegreeSUM,ReactionG_PD_TotalDegreeMIN,ReactionG_PD_TotalDegreeMEAN,ReactionG_PD_TotalDegreeMAX,ReactionG_PD_TotalDegreeSUM,ReactionG_PD_Density,ReactionG_PD_Reciprocity,ReactionG_PD_WeakComponents,ReactionG_PUD_UNDIRECTEDBiconnectedComponents,ReactionG_PUD_UNDIRECTEDArticulationPoints,NG_NumOfNONConstantSpecies,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM,SSA
4,6,0,1.5,4,6,0,1.5,2,6,1,3,6,12,0.375,0.333333333,1,3,1,6,22,2,3.666666667,6,22,2,3.666666667,4,22,5,6.333333333,9,38,0.611111111,0.727272727,1,1,0,4,24,2,2,2,12,pdm
21,14,0,0.666666667,1,14,0,0.666666667,1,14,1,1.333333333,2,28,0.031746032,0,7,2,1,14,21,1,1.5,2,21,1,1.5,2,21,2,2,2,28,0.107142857,0.666666667,7,1,0,21,294,2,2,2,28,tl
9,10,0,1.111111111,3,10,0,1.111111111,2,10,1,2.222222222,5,20,0.12345679,0.4,3,2,1,10,28,1,2.8,5,28,1,2.8,4,28,2,4.6,8,46,0.28,0.785714286,3,1,0,9,90,2,2,2,20,tl
11,15,0,1.363636364,3,15,0,1.363636364,3,15,1,2.727272727,6,30,0.123966942,0.266666667,1,8,3,13,56,1,4.307692308,12,56,3,4.307692308,9,56,4,7.538461538,19,98,0.331360947,0.642857143,1,1,0,11,143,2,2.153846154,3,28,odm
26,55,0,2.115384615,12,55,0,2.115384615,8,55,1,4,16,104,0.081360947,0.181818182,1,14,13,28,224,1,8,16,224,1,8,16,224,2,14.25,29,399,0.285714286,0.700892857,1,2,1,26,728,2,2.75,4,77,pdm
33,79,0,2.393939394,12,79,0,2.393939394,10,79,1,4.606060606,20,152,0.072543618,0.126582278,1,17,16,42,437,1,10.4047619,21,437,2,10.4047619,26,437,5,19.07142857,44,801,0.247732426,0.711670481,1,1,0,33,1386,2,2.738095238,4,115,odm
3,2,0,0.666666667,1,2,0,0.666666667,1,2,1,1.333333333,2,4,0.222222222,0,1,2,1,2,3,1,1.5,2,3,1,1.5,2,3,2,2,2,4,0.75,0.666666667,1,1,0,3,6,2,2,2,4,pdm
36,32,0,0.888888889,3,32,0,0.888888889,5,32,1,1.777777778,6,64,0.024691358,0,7,20,10,32,94,1,2.9375,6,94,1,2.9375,7,94,1,4.875,12,156,0.091796875,0.744680851,7,10,9,36,1152,2,2,2,64,pdm
23,23,0,1,3,23,0,1,3,23,1,2,6,46,0.043478261,0.347826087,5,8,5,23,82,1,3.565217391,6,82,1,3.565217391,6,82,2,6.130434783,11,141,0.155009452,0.695121951,5,2,1,23,529,2,2,2,46,tl
17,25,0,1.470588235,4,25,0,1.470588235,6,25,1,2.941176471,7,50,0.08650519,0.08,1,9,6,17,84,1,4.941176471,11,84,1,4.941176471,10,84,3,8.647058824,19,147,0.290657439,0.702380952,1,1,0,17,289,2,2.411764706,4,41,pdm
61,229,0,3.754098361,14,229,0,3.754098361,10,229,1,7.508196721,24,458,0.061542596,0.663755459,1,15,8,138,1652,1,11.97101449,40,1652,2,11.97101449,20,1652,3,22.65217391,58,3126,0.086746482,0.573849879,1,1,0,61,8418,2,2.65942029,3,367,pdm
26,23,0,0.884615385,2,23,0,0.884615385,3,23,1,1.769230769,4,46,0.034023669,0,4,9,5,22,57,1,2.590909091,7,57,1,2.590909091,6,57,2,4.136363636,11,91,0.117768595,0.684210526,5,1,0,26,572,2,2.045454545,3,45,odm
26,19,0,0.730769231,2,19,0,0.730769231,2,19,1,1.461538462,3,38,0.028106509,0,9,2,1,19,33,1,1.736842105,3,33,1,1.736842105,3,33,1,2.473684211,4,47,0.091412742,0.696969697,9,1,0,26,494,2,2,2,38,tl
11,11,0,1,2,11,0,1,2,11,1,2,3,22,0.090909091,0,2,2,1,8,17,1,2.125,4,17,1,2.125,3,17,1,3.125,5,25,0.265625,0.529411765,2,1,0,11,88,2,2.375,3,19,sdm
6,7,0,1.166666667,4,7,0,1.166666667,2,7,1,2.333333333,6,14,0.194444444,0.285714286,2,3,1,7,23,1,3.285714286,6,23,1,3.285714286,4,23,1,5.571428571,9,39,0.469387755,0.739130435,2,1,0,6,42,2,2,2,14,pdm
4,4,0,1,3,4,0,1,2,4,1,2,4,8,0.25,0,1,3,1,4,9,1,2.25,4,9,1,2.25,3,9,2,3.5,4,14,0.5625,0.666666667,1,2,1,4,16,2,2,2,8,odm
4,5,0,1.25,3,5,0,1.25,2,5,1,2.5,5,10,0.3125,0.4,1,3,1,5,17,1,3.4,5,17,2,3.4,4,17,3,5.8,8,29,0.68,0.764705882,1,1,0,4,20,2,2,2,10,pdm
10,10,0,1,2,10,0,1,2,10,1,2,3,20,0.1,0,1,7,6,10,24,1,2.4,3,24,1,2.4,3,24,2,3.8,5,38,0.24,0.583333333,1,3,2,10,100,2,2,2,20,tl
4,6,0,1.5,4,6,0,1.5,2,6,1,3,6,12,0.375,0.333333333,1,3,1,6,22,2,3.666666667,6,22,2,3.666666667,4,22,5,6.333333333,9,38,0.611111111,0.727272727,1,1,0,4,24,2,2,2,12,pdm
2,1,0,0.5,1,1,0,0.5,1,1,1,1,1,2,0.25,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,2,2,2,2,frm
8,10,0,1.25,2,10,0,1.25,3,10,1,2.5,5,20,0.15625,0.4,2,4,2,10,38,1,3.8,5,38,2,3.8,5,38,4,6.6,9,66,0.38,0.789473684,2,1,0,8,80,2,2,2,20,tl
5,5,0,1,2,5,0,1,2,5,1,2,3,10,0.2,0,1,3,2,5,11,1,2.2,3,11,1,2.2,3,11,2,3.4,5,17,0.44,0.636363636,1,3,2,5,25,2,2,2,10,tl
14,29,0,2.071428571,7,29,0,2.071428571,4,29,2,4,8,56,0.147959184,0.068965517,1,1,0,17,72,2,4.235294118,9,72,2,4.235294118,9,72,4,7.058823529,15,120,0.249134948,0.611111111,1,1,0,14,238,2,2.588235294,4,44,pdm
14,29,0,2.071428571,7,29,0,2.071428571,4,29,2,4,8,56,0.147959184,0.068965517,1,1,0,17,72,2,4.235294118,9,72,2,4.235294118,9,72,4,7.058823529,15,120,0.249134948,0.611111111,1,1,0,14,238,2,2.588235294,4,44,pdm
4,2,0,0.5,1,2,0,0.5,1,2,1,1,1,4,0.125,0,2,1,0,2,2,1,1,1,2,1,1,1,2,1,1,1,2,0.5,1,2,0,0,4,8,2,2,2,4,nrm
9,7,0,0.777777778,2,7,0,0.777777778,2,7,1,1.555555556,3,14,0.086419753,0,3,2,1,7,13,1,1.857142857,3,13,1,1.857142857,3,13,2,2.714285714,4,19,0.265306122,0.692307692,3,1,0,9,63,2,2,2,14,pdm
9,11,1,1.222222222,2,11,0,1.222222222,2,11,1,2.444444444,4,22,0.135802469,0,1,3,2,11,31,2,2.818181818,4,31,1,2.818181818,4,31,2,4.636363636,6,51,0.256198347,0.548387097,1,2,1,9,99,2,2,2,22,tl
6,3,0,0.5,1,3,0,0.5,1,3,1,1,1,6,0.083333333,0,3,1,0,3,3,1,1,1,3,1,1,1,3,1,1,1,3,0.333333333,1,3,0,0,6,18,2,2,2,6,odm
24,21,0,0.875,4,21,0,0.875,3,21,1,1.75,5,42,0.036458333,0,6,3,1,20,47,1,2.35,5,47,1,2.35,5,47,1,3.65,8,73,0.1175,0.659574468,7,2,1,24,480,2,2.05,3,41,odm
2,1,0,0.5,1,1,0,0.5,1,1,1,1,1,2,0.25,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,2,2,2,2,frm
37,63,0,1.702702703,6,63,0,1.702702703,7,63,1,3.405405405,13,126,0.046018992,0.380952381,4,8,4,45,333,1,7.4,18,333,1,7.4,15,333,2,13.46666667,29,606,0.164444444,0.672672673,4,1,0,37,1665,2,2.4,3,108,pdm
37,63,0,1.702702703,6,63,0,1.702702703,7,63,1,3.405405405,13,126,0.046018992,0.380952381,4,8,4,45,333,1,7.4,18,333,1,7.4,15,333,2,13.46666667,29,606,0.164444444,0.672672673,4,1,0,37,1665,2,2.4,3,108,pdm
23,49,0,2.130434783,6,49,0,2.130434783,6,49,1,4.260869565,9,98,0.092627599,0.081632653,1,5,3,20,104,1,5.2,10,104,2,5.2,9,104,4,8.85,15,177,0.26,0.721153846,1,1,0,23,460,2,3,4,60,pdm
50,54,0,1.08,3,54,0,1.08,3,54,1,2.16,6,108,0.0216,0.222222222,12,5,2,54,186,1,3.444444444,6,186,1,3.444444444,6,186,1,5.888888889,11,318,0.063786008,0.677419355,12,1,0,50,2700,2,2,2,108,tl
13,11,0,0.846153846,2,11,0,0.846153846,2,11,1,1.692307692,4,22,0.065088757,0,4,2,1,11,23,1,2.090909091,4,23,1,2.090909091,4,23,2,3.181818182,5,35,0.190082645,0.652173913,4,1,0,13,143,2,2,2,22,pdm
33,42,0,1.272727273,3,42,0,1.272727273,4,42,1,2.545454545,7,84,0.038567493,0.476190476,6,7,3,34,111,2,3.264705882,9,111,2,3.264705882,6,111,3,5.382352941,13,183,0.096020761,0.711711712,6,3,2,33,1122,2,2.235294118,3,76,sdm
37,72,0,1.945945946,6,72,0,1.945945946,7,72,1,3.810810811,13,141,0.052593134,0.458333333,1,17,10,51,382,1,7.490196078,18,382,2,7.490196078,15,382,3,13.62745098,29,695,0.14686659,0.672774869,1,4,3,37,1887,2,2.411764706,3,123,pdm
9,6,0,0.666666667,1,6,0,0.666666667,1,6,1,1.333333333,2,12,0.074074074,0,3,2,1,6,9,1,1.5,2,9,1,1.5,2,9,2,2,2,12,0.25,0.666666667,3,1,0,9,54,2,2,2,12,pdm
35,42,0,1.2,3,42,0,1.2,4,42,1,2.4,6,84,0.034285714,0.476190476,7,1,0,33,111,1,3.363636364,9,111,1,3.363636364,7,111,2,5.545454545,14,183,0.101928375,0.783783784,7,1,0,35,1155,2,2.272727273,3,75,pdm
4,3,0,0.75,2,3,0,0.75,1,3,1,1.5,3,6,0.1875,0,1,3,1,2,4,2,2,2,4,1,2,3,4,2,2.5,3,5,1,0.75,1,1,0,4,8,2,2.5,3,5,odm
64,235,1,3.671875,14,235,0,3.671875,8,235,2,7.34375,22,470,0.057373047,0.706382979,1,7,6,120,1254,2,10.45,37,1254,4,10.45,15,1254,5,19.55833333,50,2347,0.087083333,0.535087719,1,1,0,64,7680,2,2.958333333,3,355,odm
75,298,1,3.973333333,16,298,0,3.973333333,9,298,2,7.946666667,25,596,0.052977778,0.704697987,1,6,5,152,1848,2,12.15789474,42,1848,4,12.15789474,17,1848,6,22.97368421,57,3492,0.07998615,0.516233766,1,1,0,75,11400,2,2.960526316,3,450,pdm
6,5,0,0.833333333,2,5,0,0.833333333,2,5,1,1.666666667,3,10,0.138888889,0,2,2,1,5,10,1,2,3,10,1,2,3,10,2,3,4,15,0.4,0.7,2,1,0,6,30,2,2,2,10,pdm
6,4,0,0.666666667,1,4,0,0.666666667,1,4,1,1.333333333,2,8,0.111111111,0,2,2,1,4,6,1,1.5,2,6,1,1.5,2,6,2,2,2,8,0.375,0.666666667,2,1,0,6,24,2,2,2,8,pdm
7,5,0,0.714285714,1,5,0,0.714285714,1,5,1,1.428571429,2,10,0.102040816,0,2,2,1,5,8,1,1.6,2,8,1,1.6,2,8,2,2.2,3,11,0.32,0.625,2,1,0,7,35,2,2,2,10,odm
7,6,0,0.857142857,2,6,0,0.857142857,2,6,1,1.714285714,3,12,0.12244898,0,2,2,1,6,12,1,2,3,12,1,2,3,12,2,3,4,18,0.333333333,0.666666667,2,1,0,7,42,2,2,2,12,pdm
7,6,0,0.857142857,2,6,0,0.857142857,2,6,1,1.714285714,3,12,0.12244898,0,2,2,1,6,12,1,2,3,12,1,2,3,12,2,3,4,18,0.333333333,0.666666667,2,1,0,7,42,2,2,2,12,pdm
7,6,0,0.857142857,2,6,0,0.857142857,2,6,1,1.714285714,3,12,0.12244898,0,2,2,1,6,12,1,2,3,12,1,2,3,12,2,3,4,18,0.333333333,0.666666667,2,1,0,7,42,2,2,2,12,pdm
55,47,0,0.854545455,3,47,0,0.854545455,4,47,1,1.709090909,7,94,0.01553719,0.255319149,14,15,6,41,104,1,2.536585366,10,104,1,2.536585366,8,104,2,4,16,164,0.061867936,0.673076923,14,1,0,55,2255,2,2.146341463,3,88,pdm
47,56,0,1.191489362,3,56,0,1.191489362,9,56,1,2.382978723,9,112,0.025350837,0.142857143,4,28,16,43,207,1,4.813953488,11,207,1,4.813953488,12,207,2,8.372093023,21,360,0.111952407,0.811594203,4,11,9,47,2021,2,2.302325581,3,99,pdm
55,55,0,1,3,55,0,1,8,55,1,2,9,110,0.018181818,0,6,22,10,45,223,1,4.955555556,12,223,1,4.955555556,12,223,1,8.688888889,22,391,0.110123457,0.874439462,6,10,5,55,2475,2,2.222222222,3,100,pdm
24,47,0,1.958333333,5,47,0,1.958333333,5,47,1,3.916666667,6,94,0.081597222,0.085106383,1,2,1,29,123,1,4.24137931,8,123,2,4.24137931,8,123,3,7.206896552,14,209,0.146254459,0.658536585,1,1,0,24,696,2,2.620689655,4,76,sdm
38,52,0,1.368421053,4,52,0,1.368421053,4,52,1,2.736842105,7,104,0.03601108,0.230769231,2,15,10,30,131,1,4.366666667,9,131,2,4.366666667,9,131,2,7.233333333,14,217,0.145555556,0.709923664,2,4,3,38,1140,2,2.733333333,4,82,odm
7,9,0,1.285714286,4,9,0,1.285714286,2,9,1,2.571428571,6,18,0.183673469,0.222222222,2,2,1,9,29,2,3.222222222,6,29,1,3.222222222,4,29,3,5.444444444,9,49,0.358024691,0.724137931,2,1,0,7,63,2,2,2,18,tl
7,8,0,1.142857143,3,8,0,1.142857143,4,8,1,2.285714286,4,16,0.163265306,0,1,2,1,7,17,2,2.428571429,3,17,1,2.428571429,4,17,2,3.857142857,6,27,0.346938776,0.882352941,2,3,2,7,49,2,2.142857143,3,15,pdm
13,10,0,0.769230769,2,10,0,0.769230769,2,10,1,1.538461538,3,20,0.059171598,0,4,2,1,10,18,1,1.8,3,18,1,1.8,3,18,2,2.6,4,26,0.18,0.666666667,4,1,0,13,130,2,2,2,20,tl
24,34,0,1.416666667,3,34,0,1.416666667,4,34,1,2.833333333,7,68,0.059027778,0.352941176,2,6,3,27,117,1,4.333333333,12,117,2,4.333333333,8,117,3,7.518518519,18,203,0.160493827,0.658119658,2,1,0,24,648,2,2.259259259,3,61,pdm
18,17,0,0.944444444,2,17,0,0.944444444,3,17,1,1.888888889,5,34,0.052469136,0.352941176,4,2,1,17,51,1,3,5,51,1,3,5,51,2,5,9,85,0.176470588,0.725490196,4,1,0,18,306,2,2,2,34,tl
24,27,0,1.125,2,27,0,1.125,4,27,1,2.25,5,54,0.046875,0.296296296,3,2,1,26,102,1,3.923076923,10,102,1,3.923076923,10,102,2,6.807692308,18,177,0.150887574,0.754901961,3,1,0,24,624,2,2.038461538,3,53,pdm
24,52,0,2.166666667,9,52,0,2.166666667,9,52,1,4.333333333,15,104,0.090277778,0.153846154,1,4,3,19,122,1,6.421052632,12,122,2,6.421052632,12,122,2,11.31578947,21,215,0.337950139,0.860655738,1,2,1,24,456,2,3.210526316,4,61,pdm
26,46,0,1.769230769,6,46,0,1.769230769,5,46,1,3.384615385,9,88,0.068047337,0.086956522,1,5,2,26,142,2,5.461538462,10,142,1,5.461538462,12,142,2,9.307692308,17,242,0.210059172,0.802816901,1,8,7,26,676,2,2.615384615,4,68,pdm
8,10,0,1.25,3,10,0,1.25,3,10,1,2.5,5,20,0.15625,0.4,2,3,1,10,36,1,3.6,5,36,2,3.6,4,36,3,6.2,8,62,0.36,0.777777778,2,1,0,8,80,2,2,2,20,tl
118,270,0,2.288135593,18,270,0,2.288135593,19,270,1,4.576271186,23,540,0.01939098,0.088888889,5,13,10,102,1001,1,9.81372549,17,1001,1,9.81372549,19,1001,1,17.98039216,34,1834,0.096212995,0.861138861,5,9,7,118,12036,2,3.166666667,4,323,odm
24,52,0,2.166666667,9,52,0,2.166666667,9,52,1,4.333333333,15,104,0.090277778,0.153846154,1,4,3,19,122,1,6.421052632,12,122,2,6.421052632,12,122,2,11.31578947,21,215,0.337950139,0.860655738,1,2,1,24,456,2,3.210526316,4,61,pdm
27,55,0,2.037037037,9,55,0,2.037037037,9,55,1,4.074074074,15,110,0.075445816,0.145454545,1,7,4,21,128,1,6.095238095,12,128,1,6.095238095,12,128,2,10.71428571,21,225,0.290249433,0.8515625,1,3,2,27,567,2,3.142857143,4,66,odm
5,4,0,0.8,1,4,0,0.8,1,4,1,1.6,2,8,0.16,0,1,4,3,4,7,1,1.75,2,7,1,1.75,2,7,2,2.5,3,10,0.4375,0.571428571,1,3,2,5,20,2,2,2,8,tl
21,17,0,0.80952381,3,17,0,0.80952381,3,17,1,1.619047619,4,34,0.038548753,0,7,2,1,17,35,1,2.058823529,4,35,1,2.058823529,4,35,2,3.117647059,6,53,0.121107266,0.714285714,7,1,0,21,357,2,2,2,34,tl
24,20,0,0.833333333,3,20,0,0.833333333,3,20,1,1.666666667,4,40,0.034722222,0,8,2,1,20,44,1,2.2,4,44,1,2.2,4,44,2,3.4,6,68,0.11,0.727272727,8,1,0,24,480,2,2,2,40,tl
18,18,0,1,3,18,0,1,3,18,1,2,4,36,0.055555556,0,6,2,1,18,48,1,2.666666667,4,48,1,2.666666667,4,48,2,4.333333333,6,78,0.148148148,0.75,6,1,0,18,324,2,2,2,36,tl
32,45,0,1.40625,4,45,0,1.40625,7,45,1,2.8125,9,90,0.043945313,0.266666667,7,6,5,32,156,2,4.875,11,156,2,4.875,9,156,3,8.40625,18,269,0.15234375,0.801282051,7,1,0,32,1024,2,2.40625,4,77,pdm
67,672,5,10.02985075,128,672,5,10.02985075,128,672,10,20.05970149,256,1344,0.149699265,1,1,1,0,352,37760,10,107.2727273,270,37760,12,107.2727273,142,37760,21,213.0909091,410,75008,0.304752066,0.519491525,1,1,0,67,23584,2,2.909090909,3,1024,pdm
7,7,0,1,3,7,0,1,2,7,1,2,5,14,0.142857143,0.285714286,2,3,1,7,20,1,2.857142857,5,20,1,2.857142857,4,20,2,4.714285714,8,33,0.408163265,0.75,2,1,0,7,49,2,2,2,14,tl
24,20,0,0.833333333,3,20,0,0.833333333,3,20,1,1.666666667,4,40,0.034722222,0,8,2,1,20,44,1,2.2,4,44,1,2.2,4,44,2,3.4,6,68,0.11,0.727272727,8,1,0,24,480,2,2,2,40,tl
11,20,0,1.818181818,4,20,0,1.818181818,5,20,2,3.636363636,7,40,0.165289256,0.5,1,1,0,9,53,2,5.888888889,8,53,4,5.888888889,8,53,5,10,14,90,0.654320988,0.830188679,1,1,0,11,99,3,3.111111111,4,28,odm
11,21,0,1.909090909,4,21,0,1.909090909,5,21,2,3.818181818,7,42,0.173553719,0.285714286,1,1,0,9,54,2,6,9,54,4,6,8,54,6,10.22222222,15,92,0.666666667,0.777777778,1,1,0,11,99,3,3.222222222,4,29,odm
19,43,0,2.263157895,6,43,0,2.263157895,6,43,1,4.157894737,9,79,0.119113573,0.395348837,1,7,4,20,110,1,5.5,14,110,2,5.5,11,110,3,9.45,21,189,0.275,0.663636364,1,3,2,19,380,2,3,4,60,sdm
18,30,0,1.666666667,4,30,0,1.666666667,5,30,1,3.166666667,7,57,0.092592593,0.3,1,8,5,14,63,1,4.5,11,63,2,4.5,7,63,3,7.571428571,16,106,0.321428571,0.666666667,1,3,2,18,252,2,3.071428571,4,43,odm
13,21,0,1.615384615,5,21,0,1.615384615,5,21,1,3.230769231,6,42,0.124260355,0.095238095,1,6,4,13,52,1,4,8,52,2,4,8,52,2,6.692307692,14,87,0.307692308,0.711538462,1,2,1,13,169,2,2.461538462,4,32,pdm
5,5,0,1,2,5,0,1,2,5,1,2,3,10,0.2,0,1,4,2,5,13,1,2.6,3,13,2,2.6,4,13,3,4.2,6,21,0.52,0.692307692,1,2,1,5,25,2,2,2,10,tl
12,15,0,1.25,3,15,0,1.25,2,15,1,2.5,4,30,0.104166667,0.133333333,1,4,3,9,25,2,2.777777778,5,25,2,2.777777778,4,25,3,4.222222222,7,38,0.308641975,0.72,1,5,4,12,108,2,2.666666667,3,24,sdm
8,14,0,1.75,4,14,0,1.75,4,14,2,3.5,7,28,0.21875,0.428571429,1,1,0,6,34,4,5.666666667,7,34,4,5.666666667,7,34,7,9.5,12,57,0.944444444,0.852941176,1,1,0,8,48,3,3.166666667,4,19,ldm
5,8,1,1.6,2,8,1,1.6,2,8,2,3.2,4,16,0.32,0.5,1,1,0,3,10,2,3.333333333,4,10,3,3.333333333,4,10,4,5,6,15,1.111111111,0.9,1,1,0,5,15,3,3.333333333,4,10,sdm
23,20,0,0.869565217,3,20,0,0.869565217,3,20,1,1.739130435,4,40,0.037807183,0,8,2,1,20,46,1,2.3,4,46,1,2.3,4,46,1,3.6,6,72,0.115,0.739130435,8,1,0,23,460,2,2,2,40,pdm
14,14,0,1,3,14,0,1,2,14,1,2,4,28,0.071428571,0.571428571,5,4,2,13,31,1,2.384615385,5,31,1,2.384615385,4,31,1,3.692307692,7,48,0.183431953,0.838709677,5,2,1,14,182,2,2.076923077,3,27,odm
5,10,1,2,3,10,0,2,4,10,2,4,7,20,0.4,0.6,1,3,2,10,56,2,5.6,7,56,4,5.6,8,56,6,10.2,14,102,0.56,0.75,1,1,0,5,50,2,2,2,20,tl
10,10,0,1,2,10,0,1,3,10,1,2,3,20,0.1,0,1,7,5,7,21,2,3,5,21,1,3,5,21,2,4.571428571,8,32,0.428571429,0.761904762,1,4,3,10,70,2,2.428571429,3,17,pdm
14,27,0,1.928571429,6,27,0,1.928571429,6,27,1,3.857142857,6,54,0.137755102,0,1,2,1,10,44,2,4.4,6,44,2,4.4,7,44,3,7.2,11,72,0.44,0.727272727,1,1,0,14,140,2,3.3,4,33,ldm
21,85,1,4.047619048,13,85,0,4.047619048,13,85,3,8.047619048,16,169,0.192743764,0.223529412,1,1,0,34,278,2,8.176470588,12,278,1,8.176470588,16,278,3,14.94117647,26,508,0.240484429,0.848920863,1,1,0,21,714,2,3.117647059,4,106,pdm
42,34,0,0.80952381,3,34,0,0.80952381,3,34,1,1.619047619,5,68,0.019274376,0.058823529,11,6,3,33,72,1,2.181818182,5,72,1,2.181818182,4,72,2,3.363636364,8,111,0.066115702,0.680555556,11,3,2,42,1386,2,2.03030303,3,67,tl
18,15,0,0.833333333,2,15,0,0.833333333,2,15,1,1.666666667,4,30,0.046296296,0.266666667,5,3,1,15,35,1,2.333333333,4,35,1,2.333333333,4,35,2,3.666666667,7,55,0.155555556,0.714285714,5,1,0,18,270,2,2,2,30,tl
10,11,0,1.1,5,11,0,1.1,2,11,1,2.2,5,22,0.11,0,1,7,5,10,22,1,2.2,6,22,1,2.2,5,22,2,3.3,9,33,0.22,0.681818182,3,3,1,10,100,2,2.1,3,21,sdm
10,11,0,1.1,5,11,0,1.1,2,11,1,2.2,5,22,0.11,0,1,7,5,10,22,1,2.2,6,22,1,2.2,5,22,2,3.3,9,33,0.22,0.681818182,3,3,1,10,100,2,2.1,3,21,odm
12,16,0,1.333333333,3,16,0,1.333333333,3,16,1,2.666666667,5,32,0.111111111,0,1,6,5,11,34,1,3.090909091,6,34,1,3.090909091,6,34,2,5,10,55,0.280991736,0.558823529,1,3,2,12,132,2,2.363636364,4,26,odm
6,6,0,1,2,6,0,1,2,6,1,2,3,12,0.166666667,0,2,2,1,6,14,1,2.333333333,3,14,2,2.333333333,3,14,3,3.666666667,4,22,0.388888889,0.714285714,2,1,0,6,36,2,2,2,12,odm
16,15,0,0.9375,3,15,0,0.9375,2,15,1,1.875,5,30,0.05859375,0.133333333,4,2,1,15,39,1,2.6,5,39,1,2.6,4,39,2,4.2,8,63,0.173333333,0.692307692,4,1,0,16,240,2,2,2,30,tl
13,12,0,0.923076923,6,12,0,0.923076923,1,12,1,1.846153846,6,24,0.071005917,0,1,12,7,12,18,1,1.5,2,18,1,1.5,2,18,2,2,2,24,0.125,0.666666667,6,1,0,13,156,2,2,2,24,tl
13,12,0,0.923076923,6,12,0,0.923076923,1,12,1,1.846153846,6,24,0.071005917,0,1,12,7,12,18,1,1.5,2,18,1,1.5,2,18,2,2,2,24,0.125,0.666666667,6,1,0,13,156,2,2,2,24,tl
27,48,0,1.777777778,6,48,0,1.777777778,5,48,1,3.555555556,10,96,0.065843621,0.25,1,10,9,21,84,1,4,8,84,1,4,8,84,2,6.523809524,14,137,0.19047619,0.797619048,1,10,8,27,567,2,2.904761905,4,61,sdm
14,18,0,1.285714286,4,18,0,1.285714286,4,18,1,2.571428571,5,36,0.091836735,0,1,13,7,18,72,2,4,5,72,1,4,6,72,2,7,10,126,0.222222222,0.722222222,1,5,4,14,252,2,2,2,36,tl
6,12,1,2,5,12,1,2,3,12,2,4,8,24,0.333333333,0.166666667,1,1,0,12,60,2,5,8,60,4,5,6,60,5,9,13,108,0.416666667,0.6,1,1,0,6,72,2,2,2,24,tl
29,24,0,0.827586207,1,24,0,0.827586207,2,24,1,1.655172414,3,48,0.028537455,0,5,2,1,24,57,1,2.375,3,57,1,2.375,4,57,2,3.75,6,90,0.098958333,0.666666667,5,1,0,29,696,2,2,2,48,tl
18,14,0,0.777777778,3,14,0,0.777777778,3,14,1,1.555555556,4,28,0.043209877,0,6,2,1,14,28,1,2,4,28,1,2,4,28,2,3,6,42,0.142857143,0.714285714,6,1,0,18,252,2,2,2,28,tl
10,19,0,1.9,4,19,0,1.9,5,19,1,3.8,7,38,0.19,0.315789474,2,2,1,17,92,1,5.411764706,12,92,1,5.411764706,10,92,3,9.764705882,20,166,0.3183391,0.804347826,2,1,0,10,170,2,2.117647059,3,36,pdm
13,22,0,1.692307692,4,22,0,1.692307692,6,22,1,3.384615385,7,44,0.130177515,0,1,3,2,14,52,1,3.714285714,5,52,2,3.714285714,6,52,2,6.285714286,10,88,0.265306122,0.615384615,1,2,1,13,182,2,2.428571429,4,34,sdm
13,23,0,1.769230769,4,23,0,1.769230769,6,23,1,3.538461538,7,46,0.136094675,0,1,2,1,15,60,2,4,5,60,2,4,7,60,3,6.866666667,11,103,0.266666667,0.616666667,1,1,0,13,195,2,2.4,4,36,sdm
12,18,0,1.5,4,18,0,1.5,4,18,1,3,4,36,0.125,0,1,2,1,11,32,2,2.909090909,4,32,2,2.909090909,4,32,3,4.636363636,6,51,0.26446281,0.59375,1,1,0,12,132,2,2.454545455,4,27,sdm
12,18,0,1.5,4,18,0,1.5,4,18,1,3,4,36,0.125,0,1,2,1,11,32,2,2.909090909,4,32,2,2.909090909,4,32,3,4.636363636,6,51,0.26446281,0.59375,1,1,0,12,132,2,2.454545455,4,27,sdm
